"Hi", Hola
"Search for items or shops", Buscar artículos o tiendas
"Sign up/Login", Registrate/Inicia secion
"Cart", Carro
"Featured", Destacado
"Worldwide shipping", Envío al mundo entero
"Accept all cards", Acepta todas las cartas
"Multilingual support", Soporte multilingüe
"Electronics", Electrónica
"Home", Casa
"Pet Toys & Pet Supplies", Juguetes y Artículos para mascotas
"Food", Comida
"Clothing, Shoes & Accessories", Ropa, Zapatos y Accesorios
"Patio & Garden", Patio y Jardín
"Baby", Bebé
"Music", Música
"Adult", Adulto
"Books", Libros
"Home Improvement", Mejoras para el hogar
"GIft / Prepaid / SIM & Activation Cards", Regalo / Tarjetas / SIM prepagas y de activación
"Movies & TV Media", Películas y medios de TV
"Jewelry", Joyería
"Industrial Supplies", Suministros Industriales
"Automotive", Automotor
"Furniture", Mueble
"Party & Occasions", Fiesta y ocasiones
"Toys", Juguetes
"Health & Beauty", Salud y Belleza
"Sports, Fitness & Outdoors", Deportes / Estado físico y Aire libre
"View all categories", Ver todas las categorías
"Only one day", Sólo un día
"Show more +", Mostrar más +
"Best offers", Las mejores ofertas
"You watched", Tu viste
"Buyers", Compradores
"How to select an item", Cómo seleccionar un artículo
"Feedback", Realimentación
"Service assistance", Asistencia de servicio
"Participation in research", Participación en la investigación
"Sellers", Vendedores
"Log in to your personal account", Inicie sesión en su cuenta personal
"Connect to the Market", Conéctese al Mercado
"Help for shops", Ayuda para tiendas
"Delivery", Entrega
"The website for partners", El sitio web para socios
"Assistance for manufacturers", Asistencia para fabricantes
"Mobile app market place TRG", Mercado de aplicaciones móviles Market TRG
"Tools", Herramientas
"Bath Faucets", Grifos de baño
"Lawn Mower", Cortacésped
"Kitchen", Cocina
"Washer", Lavadora
"Product category", Categoria de producto
"Promoted product", Producto promocionado
"All departments", Todos los departamentos
"Bestshops", Las mejores tiendas
"Best offers", Las mejores ofertas
"Contacts", Contactos
"Payment", Pago
"Social network", Red social
"Inspired by your browsing history", Inspirado por tu historial de navegación
"Product description", Descripción del producto
"General characteristic", Característica general
"Similar product", Producto similar
"Peculiar properties", Propiedades peculiares
"Prices from sellers", Precios de vendedores
"About product", Sobre el producto
"Product reviews", Opiniones del producto
"Share", Compartir
"Print", Impresión
"all specification", todas las especificaciones
"All product brand", Toda marca de producto
"Buy now", Compra ahora
"Buy", Comprar
