"Hi", Hallo
"Search for items or shops", Suche nach Artikeln oder Geschäften
"Sign up/Login", Anmelden/Anmeldung
"Cart", Wagen
"Featured", Angesagt
"Worldwide shipping", Weltweiter Versand
"Accept all cards", Akzeptiere alle Karten
"Multilingual support", Mehrsprachige Unterstützung
"Electronics", Elektronik
"Home", Zuhause
"Pet Toys & Pet Supplies", Haustier Spielzeug & Haustierzubehör
"Food", Essen
"Clothing, Shoes & Accessories", Kleidung / Schuhe und Accessoires
"Patio & Garden", Terrasse und Garten
"Baby", Baby
"Music", Musik
"Adult", Erwachsene
"Books", Bücher
"Home Improvement", Heimwerker
"GIft / Prepaid / SIM & Activation Cards", Guthaben / Vorausbezahlt / SIM & Aktivierungskarten
"Movies & TV Media", Filme und TV-Medien
"Jewelry", Schmuck
"Industrial Supplies", Industriebedarf
"Automotive", Automobil
"Furniture", Möbel
"Party & Occasions", Party & Anlässe
"Toys", Spielzeuge
"Health & Beauty", Gesundheit & Schönheit
"Sports, Fitness & Outdoors", Sport / Fitness und draußen
"View all categories", Alle Kategorien anzeigen
"Only one day", Nur ein Tag
"Show more +", Zeige mehr +
"Best offers", Beste Angebote
"You watched", Du hast zugeschaut
"Buyers", Käufer
"How to select an item", Wie wähle ich einen Gegenstand aus
"Feedback", Feedback
"Service assistance", Service-Hilfe
"Participation in research", Teilnahme an der Forschung
"Sellers", Verkäufer
"Log in to your personal account", Melden Sie sich bei Ihrem persönlichen Konto an
"Connect to the Market", Verbinde dich mit dem Markt
"Help for shops", Hilfe für Geschäfte
"Delivery", Lieferung
"The website for partners", Die Website für Partner
"Assistance for manufacturers", Unterstützung für Hersteller
"Mobile app market place TRG", Mobile App Marktplatz TRG
"Tools", Werkzeuge
"Bath Faucets", Badarmaturen
"Lawn Mower", Rasenmäher
"Kitchen", Küche
"Washer", Unterlegscheibe
"Product category", Produktkategorie
"Promoted product", Gefördertes Produkt
"All departments", Alle Abteilungen
"Bestshops", Bestseller
"Best offers", Beste Angebote
"Contacts", Kontakte
"Payment", Zahlung
"Social network", Soziales Netzwerk
"Inspired by your browsing history", nspiriert von Ihrer Browsergeschichte
"Product description", Produktbeschreibung
"General characteristic", Allgemeine Eigenschaft
"Similar product", Ähnliche Produkte
"Peculiar properties", Eigenartige Eigenschaften
"Prices from sellers", Preise von Verkäufern
"About product", Über das Produkt
"Product reviews", Produktrezensionen
"Share", Aktie
"Print", Drucken
"all specification", alle Spezifikationen
"All product brand", Alle Produktmarken
"Buy now", Kaufe jetzt
"Buy", Kaufen
