"Hi", 你好
"Search for items or shops", 搜索項目或商店
"Sign up/Login", 註冊/登錄
"Cart", 大車
"Featured", 精選
"Worldwide shipping", 全球航運
"Accept all cards", 接受所有卡片
"Multilingual support", 多語言支持
"Electronics", 電子產品
"Home", 家
"Pet Toys & Pet Supplies", 寵物玩具 ＆ 寵物用品
"Food", 餐飲
"Clothing, Shoes & Accessories", 服裝 / 鞋 及配件
"Patio & Garden", 庭院 ＆ 花園
"Baby", 寶寶
"Music", 音樂
"Adult", 成人
"Books", 圖書
"Home Improvement", 家居裝修
"GIft / Prepaid / SIM & Activation Cards", 禮品 / 預付 / SIM卡 ＆激活卡
"Movies & TV Media", 電影 ＆電視媒體
"Jewelry", 首飾
"Industrial Supplies", 工業用品
"Automotive", 汽車
"Furniture", 家具
"Party & Occasions", 派對 ＆ 場合
"Toys", 玩具
"Health & Beauty", 健康 ＆ 美容
"Sports, Fitness & Outdoors", 體育 / 健身 ＆ 戶外
"View all categories", 查看所有類別
"Only one day", 就一天
"Show more +", 顯示更多+
"Best offers", 最佳優惠
"You watched", 如你所見
"Buyers", 買家
"How to select an item", 如何選擇一個項目
"Feedback", 反饋
"Service assistance", 服務協助
"Participation in research", 參與研究
"Sellers", 賣家
"Log in to your personal account", 登錄到您的個人帳戶
"Connect to the Market", 連接到市場
"Help for shops", 幫助商店
"Delivery", 交貨
"The website for partners", 合作夥伴的網站
"Assistance for manufacturers", 協助製造商
"Mobile app market place TRG", 移動應用市場TRG
"Tools", 工具
"Bath Faucets", 浴缸龍頭
"Lawn Mower", 割草機
"Kitchen", 廚房
"Washer", 墊圈
"Product category", 產品分類
"Promoted product", 推廣產品
"All departments", 所有部門
"Bestshops", 最好的商店
"Best offers", 最佳優惠
"Contacts", 往來
"Payment", 付款
"Social network", 社交網絡
"Inspired by your browsing history", 受您瀏覽記錄的啟發
"Product description", 產品描述
"General characteristic", 一般特徵
"Similar product", 類似的產品
"Peculiar properties", 特有的屬性
"Prices from sellers", 來自賣家的價格
"About product", 關於產品
"Product reviews", 產品評論
"Share", 分享
"Print", 打印
"all specification", 所有規格
"All product brand", 所有產品品牌
"Buy now", 立即購買
"Buy", 購買
